Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,SummaryQuote
NMZ,Nuveen Municipal High Income Opportunity Fund,11.4,$730.5M,2003,n/a,n/a,https://www.nasdaq.com/symbol/nmz
NMI,"Nuveen Municipal Income Fund, Inc.",10.19,$89.02M,1988,n/a,n/a,https://www.nasdaq.com/symbol/nmi
NJV,Nuveen New Jersey Municipal Value Fund,12.17,$18.67M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/njv
NXJ,Nuveen New Jersey Quality Municipal Income Fund,12.57,$523.29M,2001,n/a,n/a,https://www.nasdaq.com/symbol/nxj
NRK,Nuveen New York AMT-Free Quality Municipal,11.58,$1.01B,2002,n/a,n/a,https://www.nasdaq.com/symbol/nrk
NYV,Nuveen New York Municipal Value Fund 2,13.1099,$30.8M,2009,n/a,n/a,https://www.nasdaq.com/symbol/nyv
NNY,"Nuveen New York Municipal Value Fund, Inc.",9.41,$143.21M,1988,n/a,n/a,https://www.nasdaq.com/symbol/nny
NAN,Nuveen New York Quality Municipal Income Fund,12.3,$380M,1999,n/a,n/a,https://www.nasdaq.com/symbol/nan
NNC,Nuveen North Carolina Quality Municipal Income Fd,11.76,$191.91M,1993,n/a,n/a,https://www.nasdaq.com/symbol/nnc
NUO,Nuveen Ohio Quality Municipal Income Fund,13.24,$243.76M,1991,n/a,n/a,https://www.nasdaq.com/symbol/nuo
NPN,Nuveen Pennsylvania Municipal Value Fund,12.3334,$15.07M,2009,n/a,n/a,https://www.nasdaq.com/symbol/npn
NQP,Nuveen Pennsylvania Quality Municipal Income Fund,12.1,$453.49M,1991,n/a,n/a,https://www.nasdaq.com/symbol/nqp
JPC,Nuveen Preferred & Income Opportunities Fund,7.95,$821.49M,2003,n/a,n/a,https://www.nasdaq.com/symbol/jpc
JPS,Nuveen Preferred & Income Securities Fund,7.46,$1.52B,2002,n/a,n/a,https://www.nasdaq.com/symbol/jps
JPT,Nuveen Preferred and Income 2022 Term Fund,21.07,$143.94M,2017,n/a,n/a,https://www.nasdaq.com/symbol/jpt
JPI,Nuveen Preferred and Income Term Fund,19.28,$438.76M,2012,n/a,n/a,https://www.nasdaq.com/symbol/jpi
NAD,Nuveen Quality Municipal Income Fund,12.56,$2.54B,1999,n/a,n/a,https://www.nasdaq.com/symbol/nad
JRI,Nuveen Real Asset Income and Growth Fund,13.18,$364.2M,2012,n/a,n/a,https://www.nasdaq.com/symbol/jri
JRS,Nuveen Real Estate Fund,8.17,$236.05M,2001,n/a,n/a,https://www.nasdaq.com/symbol/jrs
BXMX,Nuveen S&P 500 Buy-Write Income Fund,11.18,$1.16B,n/a,n/a,n/a,https://www.nasdaq.com/symbol/bxmx
SPXX,Nuveen S&P 500 Dynamic Overwrite Fund,13.12,$216.7M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/spxx
NIM,Nuveen Select Maturities Municipal Fund,9.51,$118.36M,1992,n/a,n/a,https://www.nasdaq.com/symbol/nim
NXP,Nuveen Select Tax Free Income Portfolio,14.08,$233.31M,1992,n/a,n/a,https://www.nasdaq.com/symbol/nxp
NXQ,Nuveen Select Tax Free Income Portfolio II,13.29,$235.42M,1992,n/a,n/a,https://www.nasdaq.com/symbol/nxq
NXR,Nuveen Select Tax Free Income Portfolio III,14.26,$186.03M,1992,n/a,n/a,https://www.nasdaq.com/symbol/nxr
NSL,Nuveen Senior Income Fund,5.42,$209.33M,1999,n/a,n/a,https://www.nasdaq.com/symbol/nsl
JSD,Nuveen Short Duration Credit Opportunities Fund,13.76,$138.92M,2011,n/a,n/a,https://www.nasdaq.com/symbol/jsd
NBB,Nuveen Taxable Municipal Income Fund,19.25,$658.25M,2010,n/a,n/a,https://www.nasdaq.com/symbol/nbb
JTD,Nuveen Tax-Advantaged Dividend Growth Fund,12.82,$185.69M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jtd
JTA,Nuveen Tax-Advantaged Total Return Strategy Fund,9.28,$128.54M,2004,n/a,n/a,https://www.nasdaq.com/symbol/jta
NTX,Nuveen Texas Quality Municipal Income Fund,12.5,$124.64M,1991,n/a,n/a,https://www.nasdaq.com/symbol/ntx
NPV,Nuveen Virginia Quality Municipal Income Fund,11.58,$207.29M,1993,n/a,n/a,https://www.nasdaq.com/symbol/npv
NIQ,Nuveenn Intermediate Duration Quality Municipal Term Fund,12.24,$160.31M,2013,n/a,n/a,https://www.nasdaq.com/symbol/niq
JMT,Nuven Mortgage Opportunity Term Fund 2,22.31,$108.68M,n/a,n/a,n/a,https://www.nasdaq.com/symbol/jmt
NVT,nVent Electric plc,20.37,$3.65B,2018,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/nvt
NVR,"NVR, Inc.",2346.14,$8.48B,n/a,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/nvr
OAK,"Oaktree Capital Group, LLC",39.3,$6.18B,2012,Finance,Investment Managers,https://www.nasdaq.com/symbol/oak
OAK^A,"Oaktree Capital Group, LLC",22.2099,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/oak^a
OAK^B,"Oaktree Capital Group, LLC",21.88,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/oak^b
OSLE,Oaktree Specialty Lending Corporation,24.2701,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/osle
OMP,Oasis Midstream Partners LP,15.3,$516.82M,2017,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/omp
OAS,Oasis Petroleum Inc.,5.03,$1.6B,2010,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/oas
